Franchisee_Name,Zip_Code
Allen,75002
Celina,75009
Allen,75013
Plano,75023
Plano,75024
Plano,75025
Frisco,75034
Frisco,75035
Mckinney,75069
Mckinney,75070
Mckinney,75071
Mckinney,75072
Plano,75074
Plano,75075
Prosper,75078
Richardson,75082
Plano,75093
Plano,75094
Wylie,75098
Lavon,75166
Nevada,75173
Dallas,75252
Princeton,75407
Anna,75409
Blue Ridge,75424
Farmersville,75442
Melissa,75454
Addison,75001
Carrollton,75006
Coppell,75019
Irving,75038
Irving,75039
Garland,75040
Garland,75041
Garland,75042
Garland,75043
Garland,75044
Sachse,75048
Grand Prairie,75050
Grand Prairie,75051
Grand Prairie,75052
Irving,75060
Irving,75061
Irving,75062
Irving,75063
Richardson,75080
Richardson,75081
Rowlett,75088
Rowlett,75089
Cedar Hill,75104
Desoto,75115
Duncanville,75116
Lancaster,75134
Duncanville,75137
Hutchins,75141
Lancaster,75146
Mesquite,75149
Mesquite,75150
Seagoville,75159
Wilmer,75172
Balch Springs,75180
Mesquite,75181
Sunnyvale,75182
Dallas,75201
Dallas,75202
Dallas,75203
Dallas,75204
Dallas,75205
Dallas,75206
Dallas,75207
Dallas,75208
Dallas,75209
Dallas,75210
Dallas,75211
Dallas,75212
Dallas,75214
Dallas,75215
Dallas,75216
Dallas,75217
Dallas,75218
Dallas,75219
Dallas,75220
Dallas,75223
Dallas,75224
Dallas,75225
Dallas,75226
Dallas,75227
Dallas,75228
Dallas,75229
Dallas,75230
Dallas,75231
Dallas,75232
Dallas,75233
Dallas,75234
Dallas,75235
Dallas,75236
Dallas,75237
Dallas,75238
Dallas,75240
Dallas,75241
Dallas,75242
Dallas,75243
Dallas,75244
Dallas,75245
Dallas,75246
Dallas,75247
Dallas,75248
Dallas,75249
Dallas,75251
Dallas,75253
Dallas,75254
Dallas,75258
Dallas,75260
Dallas,75270
Dallas,75398
Carrollton,75007
Carrollton,75010
Flower Mound,75022
Flower Mound,75028
Frisco,75033
Frisco,75036
The Colony,75056
Lewisville,75057
Lake Dallas,75065
Lewisville,75067
Little Elm,75068
Lewisville,75077
Dallas,75287
Denton,76201
Denton,76205
Denton,76207
Denton,76208
Denton,76209
Denton,76210
Argyle,76226
Aubrey,76227
Justin,76247
Krum,76249
Pilot Point,76258
Ponder,76259
Roanoke,76262
Sanger,76266
Ennis,75119
Ferris,75125
Palmer,75152
Red Oak,75154
Waxahachie,75165
Waxahachie,75167
Forreston,76041
Maypearl,76064
Midlothian,76065
Italy,76651
Milford,76670
Denison,75020
Denison,75021
Gunter,75058
Pottsboro,75076
Sherman,75090
Sherman,75092
Bells,75414
Howe,75459
Whitewright,75491
Van Alstyne,75495
Collinsville,76233
Gordonville,76245
Sadler,76264
Tioga,76271
Whitesboro,76273
Caddo Mills,75135
Greenville,75401
Greenville,75402
Campbell,75422
Celeste,75423
Commerce,75428
Lone Oak,75453
Quinlan,75474
Wolfe City,75496
Alvarado,76009
Burleson,76028
Cleburne,76031
Cleburne,76033
Godley,76044
Grandview,76050
Joshua,76058
Keene,76059
Venus,76084
Rio Vista,76093
Crandall,75114
Forney,75126
Kaufman,75142
Mabank,75147
Scurry,75158
Terrell,75160
Terrell,75161
Aledo,76008
Cresson,76035
Millsap,76066
Springtown,76082
Weatherford,76085
Weatherford,76086
Weatherford,76087
Weatherford,76088
Poolville,76487
Whitt,76490
Rockwall,75032
Rockwall,75087
Royse City,75189
Grand Prairie,75054
Arlington,76001
Arlington,76002
Arlington,76005
Arlington,76006
Arlington,76010
Arlington,76011
Arlington,76012
Arlington,76013
Arlington,76014
Arlington,76015
Arlington,76016
Arlington,76017
Arlington,76018
Azle,76020
Bedford,76021
Bedford,76022
Colleyville,76034
Crowley,76036
Euless,76039
Euless,76040
Grapevine,76051
Haslet,76052
Hurst,76053
Hurst,76054
Kennedale,76060
Mansfield,76063
Southlake,76092
Fort Worth,76102
Fort Worth,76103
Fort Worth,76104
Fort Worth,76105
Fort Worth,76106
Fort Worth,76107
Fort Worth,76108
Fort Worth,76109
Fort Worth,76110
Fort Worth,76111
Fort Worth,76112
Fort Worth,76114
Fort Worth,76115
Fort Worth,76116
Haltom City,76117
Fort Worth,76118
Fort Worth,76119
Fort Worth,76120
Fort Worth,76123
Fort Worth,76126
Naval Air Station Jrb,76127
Fort Worth,76131
Fort Worth,76132
Fort Worth,76133
Fort Worth,76134
Fort Worth,76135
Fort Worth,76137
Fort Worth,76140
Fort Worth,76148
Fort Worth,76155
Fort Worth,76164
Fort Worth,76177
Fort Worth,76179
North Richland Hills,76180
North Richland Hills,76182
Keller,76244
Keller,76248